Hardware allocated: cuda
STATERA PoC Temporal Tracking Training Started...
Epoch[1/50] | Train Batch[0/334] | Time (1st batch): 7.19s | Loss: 21.7455 (wH: 11.4203, wZ: 19.0280, wM: 84.2242)
Epoch[1/50] | Train Batch[10/334] | Time (10 batches): 69.00s | Loss: 16.0051 (wH: 11.3259, wZ: 17.5218, wM: 29.2704)
Epoch[1/50] | Train Batch[20/334] | Time (10 batches): 68.94s | Loss: 16.3208 (wH: 11.4097, wZ: 21.9078, wM: 27.2030)
Epoch[1/50] | Train Batch[30/334] | Time (10 batches): 69.03s | Loss: 16.4228 (wH: 11.2321, wZ: 22.1838, wM: 29.7234)
Epoch[1/50] | Train Batch[40/334] | Time (10 batches): 68.94s | Loss: 16.0503 (wH: 11.3256, wZ: 18.9189, wM: 28.3285)
Epoch[1/50] | Train Batch[50/334] | Time (10 batches): 68.92s | Loss: 15.1156 (wH: 11.2311, wZ: 16.3025, wM: 22.5419)
Epoch[1/50] | Train Batch[60/334] | Time (10 batches): 68.96s | Loss: 14.4122 (wH: 10.8536, wZ: 15.3495, wM: 20.2362)
Epoch[1/50] | Train Batch[70/334] | Time (10 batches): 68.97s | Loss: 14.6950 (wH: 10.6551, wZ: 13.3625, wM: 27.0369)
Epoch[1/50] | Train Batch[80/334] | Time (10 batches): 69.00s | Loss: 13.3561 (wH: 9.9244, wZ: 11.5837, wM: 22.7333)
Epoch[1/50] | Train Batch[90/334] | Time (10 batches): 68.98s | Loss: 13.8601 (wH: 9.3635, wZ: 12.0045, wM: 32.9613)
Epoch[1/50] | Train Batch[100/334] | Time (10 batches): 69.17s | Loss: 13.2450 (wH: 8.8368, wZ: 6.3555, wM: 37.7257)
Epoch[1/50] | Train Batch[110/334] | Time (10 batches): 69.00s | Loss: 11.1547 (wH: 8.4711, wZ: 4.0175, wM: 22.8184)
Epoch[1/50] | Train Batch[120/334] | Time (10 batches): 69.05s | Loss: 11.4812 (wH: 8.3174, wZ: 6.7776, wM: 24.8608)
Epoch[1/50] | Train Batch[130/334] | Time (10 batches): 69.05s | Loss: 11.0577 (wH: 8.1484, wZ: 3.6081, wM: 25.4852)
Epoch[1/50] | Train Batch[140/334] | Time (10 batches): 69.01s | Loss: 11.2775 (wH: 8.1029, wZ: 5.7244, wM: 26.0215)
Epoch[1/50] | Train Batch[150/334] | Time (10 batches): 69.10s | Loss: 10.6742 (wH: 8.0615, wZ: 4.8790, wM: 21.2484)
Epoch[1/50] | Train Batch[160/334] | Time (10 batches): 69.10s | Loss: 10.4667 (wH: 7.9048, wZ: 4.8864, wM: 20.7324)
Epoch[1/50] | Train Batch[170/334] | Time (10 batches): 69.00s | Loss: 11.5337 (wH: 8.0451, wZ: 4.0912, wM: 30.7948)
Epoch[1/50] | Train Batch[180/334] | Time (10 batches): 69.03s | Loss: 10.2877 (wH: 7.7217, wZ: 3.4880, wM: 22.1723)
Epoch[1/50] | Train Batch[190/334] | Time (10 batches): 69.69s | Loss: 10.7119 (wH: 7.6696, wZ: 2.1469, wM: 28.2760)
Epoch[1/50] | Train Batch[200/334] | Time (10 batches): 73.03s | Loss: 10.0887 (wH: 7.8306, wZ: 3.5505, wM: 19.0305)
Epoch[1/50] | Train Batch[210/334] | Time (10 batches): 71.58s | Loss: 11.1737 (wH: 7.9878, wZ: 3.2272, wM: 28.6311)
Epoch[1/50] | Train Batch[220/334] | Time (10 batches): 70.88s | Loss: 10.9031 (wH: 8.2599, wZ: 2.0760, wM: 24.3564)
Epoch[1/50] | Train Batch[230/334] | Time (10 batches): 70.56s | Loss: 10.9503 (wH: 8.2846, wZ: 3.5611, wM: 23.0958)
Epoch[1/50] | Train Batch[240/334] | Time (10 batches): 70.40s | Loss: 10.2168 (wH: 8.0412, wZ: 2.6454, wM: 19.1110)
Epoch[1/50] | Train Batch[250/334] | Time (10 batches): 72.77s | Loss: 10.6716 (wH: 7.8507, wZ: 3.2234, wM: 24.9863)
Epoch[1/50] | Train Batch[260/334] | Time (10 batches): 71.05s | Loss: 10.4321 (wH: 7.8656, wZ: 3.0760, wM: 22.5883)
Epoch[1/50] | Train Batch[270/334] | Time (10 batches): 70.39s | Loss: 10.4931 (wH: 7.9338, wZ: 3.3798, wM: 22.2123)
Epoch[1/50] | Train Batch[280/334] | Time (10 batches): 70.05s | Loss: 9.7881 (wH: 7.5159, wZ: 2.2818, wM: 20.4409)
Epoch[1/50] | Train Batch[290/334] | Time (10 batches): 71.69s | Loss: 10.1646 (wH: 8.0499, wZ: 1.6446, wM: 19.5020)
Epoch[1/50] | Train Batch[300/334] | Time (10 batches): 69.69s | Loss: 10.4607 (wH: 7.6614, wZ: 2.7772, wM: 25.2151)
Epoch[1/50] | Train Batch[310/334] | Time (10 batches): 69.12s | Loss: 10.8808 (wH: 8.0887, wZ: 3.7886, wM: 24.1328)
Epoch[1/50] | Train Batch[320/334] | Time (10 batches): 69.09s | Loss: 10.5348 (wH: 8.0749, wZ: 2.1893, wM: 22.4105)
Epoch[1/50] | Train Batch[330/334] | Time (10 batches): 69.11s | Loss: 9.9997 (wH: 8.0064, wZ: 1.7759, wM: 18.1568)
=== Epoch 1 Completed in 2900.3s | Sigma: 12.50 ===
Train - wHeatmap: 8.8293 | wZ-Depth: 7.3915 | wMag: 24.2792
